Variable Name,Value,Type,Description
,,,
#Siege Item Stats,,,
Siege Item Damage Buff Ratio,0.1,float,Damage buff ratio added per second
Siege Item Maximum Buff Ratio,0.5,float,Maximum damage buff ratio that can be reached with this item
,,,
#Berserk Item Stats,,,
Berserk Item Damage Buff Ratio,1,float,Damage buff ratio per missing health percentage (Value of 0.5 means 35% damage buff if 70% of health is missing)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
#AOE Dash Stats,,,
,,,
Player AOE Dash Speed,25,float,Dashing speed of character
Player AOE Dash Duration,0.15,float,Dashing duration (seconds)
Player AOE Dash Endlag,0.2,float,How long the character will be vulnerable after dashing (seconds)
Player AOE Dash Cooldown,1,float,Cooldown of dashing (seconds)
,,,
,,,
,,,
,,,
,,,
,,,
Player Dash Bullet Damage,10,float,Base damage of the bullet (against Boss)
Player Dash Bullet Damage Against Projectile,10,float,Base damage of the bullet (against Projectiles)
Player Dash Bullet Size,0.25,float,Radius of the player bullet's sphere hitbox
Player Dash Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Player Dash Bullet Is Invincible,FALSE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Player Dash Bullet Initial Speed,25,float,Initial Speed of player's bullet
Player Dash Bullet Acceleration,20,float,Acceleration rate of the bullet
Player Dash Bullet Maximum Speed,35,float,Maximum speed of player's bullet
Player Dash Bullet Lifespan,0.1,float,How long the bullet will be active (seconds)
,,,
#Courage Dash Stats,,,
Player Courage Dash Speed,45,float,Dashing speed of character
Player Courage Dash Duration,0.1,float,Dashing duration (seconds)
Player Courage Dash Endlag,0.1,float,How long the character will be vulnerable after dashing (seconds)
Player Courage Dash Cooldown,0.8,float,Cooldown of dashing (seconds)
,,,
#Courage Stats,,,
Courage Dash Angle,45,float,Player must dash within this angle towards the boss to gain Courage
Courage Damage Buff Ratio,0.7,float,Damage buff ratio for Courage
Courage Buff Duration,1,float,Buff duration of Courage (seconds)
,,,
,,,
#Griffin Dash Stats,,,
Player Griffin Dash Speed,55,float,Dashing speed of character
Player Griffin Dash Duration,0.1,float,Dashing duration (seconds)
Player Griffin Dash Endlag,0,float,How long the character will be vulnerable after dashing (seconds)
Player Griffin Dash Cooldown,1,float,Cooldown of dashing (seconds)
,,,
,,,
#Griffin Stats,,,
Griffin Speed Buff Ratio,0.5,float,Speed buff ratio for Griffin
Griffin Buff Duration,0.5,float,Buff duration of Griffin (seconds)
