Variable Name,Value,Type,Description
,,,
#Boss Pattern 3-Alpha Variables,,,
Boss Pattern 3-Alpha Initial Lag,0.5,float,Initial lag duration (seconds)
Boss Pattern 3-Alpha Minimum Initial Lag,0.2,float,Minimum initial lag duration (seconds)
Boss Pattern 3-Alpha Approach Speed,20,float,Boss approach speed towards the player
Boss Pattern 3-Alpha Approach Acceleration,50,float,Boss approach speed acceleration
Boss Pattern 3-Alpha Approach Distance,30,float,Boss minimum approach distance before firing
Boss Pattern 3-Alpha Spread Angle,240,float,Angle within which the bullets will be fired (degrees)
Boss Pattern 3-Alpha Bullet Count,22,int,How many bullets within the cone range
Boss Pattern 3-Alpha Invincible Bullet Count,20,int,How many indestructible bullets within the cone range
Boss Pattern 3-Alpha Fire Time,0.3,float,Within how many seconds the pattern will complete
Boss Pattern 3-Alpha Repeat Count,5,int,How many times this pattern will repeat
Boss Pattern 3-Alpha Ending Lag,0.1,float,Ending lag duration (seconds)
,,,
#Boss Pattern 3-Alpha Bullet Stats,,,
Boss 3-Alpha Bullet Damage,10,float,Base damage of the bullet
Boss 3-Alpha Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 3-Alpha Bullet Size,0.2,float,Radius of the boss bullet's sphere hitbox
Boss 3-Alpha Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 3-Alpha Bullet Is Invincible,FALSE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 3-Alpha Bullet Initial Speed,10,float,Initial Speed of boss's bullet
Boss 3-Alpha Bullet Acceleration,10,float,Acceleration rate of the bullet
Boss 3-Alpha Bullet Maximum Speed,18,float,Maximum speed of boss's bullet
Boss 3-Alpha Bullet Lifespan,5,float,How long the bullet will be active (seconds)
,,,
#Boss Pattern 3-Alpha Invincible Bullet Stats,,,
Boss 3-Alpha Invincible Bullet Damage,20,float,Base damage of the bullet
Boss 3-Alpha Invincible Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 3-Alpha Invincible Bullet Size,0.3,float,Radius of the boss bullet's sphere hitbox
Boss 3-Alpha Invincible Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 3-Alpha Invincible Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 3-Alpha Invincible Bullet Initial Speed,7,float,Initial Speed of boss's bullet
Boss 3-Alpha Invincible Bullet Acceleration,10,float,Acceleration rate of the bullet
Boss 3-Alpha Invincible Bullet Maximum Speed,15,float,Maximum speed of boss's bullet
Boss 3-Alpha Invincible Bullet Lifespan,5,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 3-Beta Variables,,,
Boss Pattern 3-Beta Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 3-Beta Minimum Initial Lag,0,float,Minimum initial lag duration (seconds)
Boss Pattern 3-Beta Approach Speed,30,float,Boss approach speed towards the player
Boss Pattern 3-Beta Approach Acceleration,70,float,Boss approach speed acceleration
Boss Pattern 3-Beta Approach Distance,8,float,Distance kept by boss from player during the pattern
Boss Pattern 3-Beta Approach Ratio,0.3,float,Boss will move to fix the distance only when the player moves in or out of this range
Boss Pattern 3-Beta Spread Angle,20,float,Angle within which the bullets will be fired (degrees)
Boss Pattern 3-Beta Bullet Count,50,int,How many bullets within the cone range
Boss Pattern 3-Beta Fire Rate,22,float,Bullets per second
Boss Pattern 3-Beta Ending Lag,0.7,float,Ending lag duration (seconds)
,,,
#Boss Pattern 3-Beta Bullet Stats,,,
Boss 3-Beta Bullet Damage,20,float,Base damage of the bullet
Boss 3-Beta Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 3-Beta Bullet Size,0.3,float,Radius of the boss bullet's sphere hitbox
Boss 3-Beta Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 3-Beta Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 3-Beta Bullet Initial Speed,35,float,Initial Speed of boss's bullet
Boss 3-Beta Bullet Acceleration,100,float,Acceleration rate of the bullet
Boss 3-Beta Bullet Maximum Speed,35,float,Maximum speed of boss's bullet
Boss 3-Beta Bullet Lifespan,3,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 3-Gamma Variables,,,
Boss Pattern 3-Gamma Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 3-Gamma Fire Rate,8,float,Patterns per second
Boss Pattern 3-Gamma Repeat Count,60,int,How many times this pattern will repeat
Boss Pattern 3-Gamma Ending Lag,1.5,float,Ending lag duration (seconds)
Boss Pattern 3-Gamma Direction Count,8,int,Number of directions for bullets per pattern
Boss Pattern 3-Gamma Delta Angle,12,float,Difference of angle for next pattern
,,,
#Boss Pattern 3-Gamma Bullet Stats,,,
Boss 3-Gamma Bullet Damage,10,float,Base damage of the bullet
Boss 3-Gamma Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 3-Gamma Bullet Size,0.2,float,Radius of the boss bullet's sphere hitbox
Boss 3-Gamma Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 3-Gamma Bullet Is Invincible,FALSE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 3-Gamma Bullet Initial Speed,10,float,Initial Speed of boss's bullet
Boss 3-Gamma Bullet Acceleration,20,float,Acceleration rate of the bullet
Boss 3-Gamma Bullet Maximum Speed,15,float,Maximum speed of boss's bullet
Boss 3-Gamma Bullet Lifespan,3,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 3-Delta Variables,,,
Boss Pattern 3-Delta Initial Lag,0.5,float,Initial lag duration (seconds)
Boss Pattern 3-Delta Fire Rate,2.5,float,Patterns per second
Boss Pattern 3-Delta Repeat Count,8,int,How many times this pattern will repeat
Boss Pattern 3-Delta Ending Lag,0.5,float,Ending lag duration (seconds)
,,,
#Boss Pattern 3-Delta Wave Stats,,,
Boss 3-Delta Wave Bullet Damage,20,float,Base damage of the wave
Boss 3-Delta Wave Bullet Length,100,float,Length of the boss wave's capsule hitbox
Boss 3-Delta Wave Bullet Thickness,1,float,Thickness of the boss wave's capsule hitbox
Boss 3-Delta Wave Bullet Initial Speed,2,float,Initial Speed of boss's wave
Boss 3-Delta Wave Bullet Acceleration,20,float,Acceleration rate of the wave
Boss 3-Delta Wave Bullet Maximum Speed,28,float,Maximum speed of boss's wave
Boss 3-Delta Wave Bullet Lifespan,5,float,How long the wave will be active (seconds)
,,,
,,,
#Boss Pattern 3-Epsilon Variables,,,
Boss Pattern 3-Epsilon Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 3-Epsilon Duration,20,float,Duration of the pattern
Boss Pattern 3-Epsilon Ending Lag,1,float,Ending lag duration (seconds)
Boss Pattern 3-Epsilon Wave Count,3,int,Number of waves in a pattern
Boss Pattern 3-Epsilon Bullet Count,12,int,Number of bullets in a pattern
,,,
#Boss Pattern 3-Epsilon Spinning Wave Stats,,,
Boss 3-Epsilon Wave Bullet Damage,20,float,Base damage of the wave
Boss 3-Epsilon Wave Bullet Length,100,float,Length of the boss wave's capsule hitbox
Boss 3-Epsilon Wave Bullet Thickness,1,float,Thickness of the boss wave's capsule hitbox
Boss 3-Epsilon Wave Bullet Initial Speed,45,float,Degrees spinned per second
Boss 3-Epsilon Wave Bullet Acceleration,30,float,Acceleration rate of the spin
Boss 3-Epsilon Wave Bullet Maximum Speed,90,float,Maximum speed of boss's wave
Boss 3-Epsilon Wave Bullet Lifespan,20,float,How long the wave will be active (seconds)
Boss 3-Epsilon Wave Bullet Spin Speed,90,float,Degrees spinned per second
,,,
#Boss Pattern 3-Epsilon Bullet Stats,,,
Boss 3-Epsilon Bullet Damage,20,float,Base damage of the bullet
Boss 3-Epsilon Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 3-Epsilon Bullet Size,0.3,float,Radius of the boss bullet's sphere hitbox
Boss 3-Epsilon Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 3-Epsilon Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 3-Epsilon Bullet Initial Speed,12,float,Initial Speed of boss's bullet
Boss 3-Epsilon Bullet Acceleration,1000,float,Acceleration rate of the bullet
Boss 3-Epsilon Bullet Maximum Speed,12,float,Maximum speed of boss's bullet
Boss 3-Epsilon Bullet Lifespan,20,float,How long the bullet will be active (seconds)
Boss 3-Epsilon Bullet Orbit Radius,8,float,Radius of the circular motion
